x1
1.835034190722739655e-01
1.980394118039308093e-02
6.872933677158465926e-03
3.442351007066579704e-03
2.059734421668291127e-03
1.368926035332784785e-03
9.751343128597822485e-04
7.296608049249808658e-04
5.664118268072781959e-04
4.523863610835787696e-04
